Timestamp(ms),IP_Address,RTT(ms),SequenceNum
403572331,127.0.0.1,56,208
403572331,127.0.0.1,50,209
403572331,127.0.0.1,43,210
403572331,127.0.0.1,63,207
403572332,127.0.0.1,57,208
403572332,127.0.0.1,50,209
403572332,127.0.0.1,43,210
403572332,127.0.0.1,37,211
403572332,127.0.0.1,30,212
403572338,127.0.0.1,42,211
403572338,127.0.0.1,36,212
403572338,127.0.0.1,28,213
403572338,127.0.0.1,21,214
403572358,127.0.0.1,49,213
403572358,127.0.0.1,42,214
403572359,127.0.0.1,36,215
403572359,127.0.0.1,29,216
403572359,127.0.0.1,36,215
403572359,127.0.0.1,29,216
403572393,127.0.0.1,56,217
403572393,127.0.0.1,49,218
403572393,127.0.0.1,43,219
403572393,127.0.0.1,56,217
403572393,127.0.0.1,49,218
403572394,127.0.0.1,44,219
403572394,127.0.0.1,36,220
403572394,127.0.0.1,29,221
403572394,127.0.0.1,22,222
403572394,127.0.0.1,15,223
403572394,127.0.0.1,36,220
403572394,127.0.0.1,29,221
403572394,127.0.0.1,22,222
403572394,127.0.0.1,15,223
403572421,127.0.0.1,35,224
403572421,127.0.0.1,35,224
403572428,127.0.0.1,35,225
403572428,127.0.0.1,36,225
403572429,127.0.0.1,29,226
403572429,127.0.0.1,23,227
403572429,127.0.0.1,16,228
403572449,127.0.0.1,28,229
403572456,127.0.0.1,56,226
403572456,127.0.0.1,49,227
403572456,127.0.0.1,43,228
403572456,127.0.0.1,35,229
403572456,127.0.0.1,28,230
403572456,127.0.0.1,21,231
403572456,127.0.0.1,28,230
403572457,127.0.0.1,23,231
403572457,127.0.0.1,16,232
403572457,127.0.0.1,16,232
403572483,127.0.0.1,35,233
403572491,127.0.0.1,42,233
403572491,127.0.0.1,36,234
403572491,127.0.0.1,36,234
403572491,127.0.0.1,29,235
403572491,127.0.0.1,22,236
403572491,127.0.0.1,15,237
403572518,127.0.0.1,35,238
403572518,127.0.0.1,56,235
403572519,127.0.0.1,50,236
403572519,127.0.0.1,43,237
403572519,127.0.0.1,36,238
403572519,127.0.0.1,29,239
403572519,127.0.0.1,22,240
403572519,127.0.0.1,15,241
403572520,127.0.0.1,30,239
403572520,127.0.0.1,23,240
403572520,127.0.0.1,16,241
403572520,127.0.0.1,9,242
403572553,127.0.0.1,42,242
403572553,127.0.0.1,35,243
403572553,127.0.0.1,35,243
403572553,127.0.0.1,28,244
403572559,127.0.0.1,34,244
403572560,127.0.0.1,29,245
403572560,127.0.0.1,22,246
403572594,127.0.0.1,49,247
403572595,127.0.0.1,43,248
403572595,127.0.0.1,63,245
403572595,127.0.0.1,57,246
403572595,127.0.0.1,49,247
403572595,127.0.0.1,43,248
403572595,127.0.0.1,36,249
403572595,127.0.0.1,29,250
403572596,127.0.0.1,37,249
403572596,127.0.0.1,30,250
403572596,127.0.0.1,23,251
403572596,127.0.0.1,16,252
403572615,127.0.0.1,28,253
403572622,127.0.0.1,49,251
403572623,127.0.0.1,43,252
403572623,127.0.0.1,36,253
403572629,127.0.0.1,35,254
403572630,127.0.0.1,29,255
403572630,127.0.0.1,22,256
403572636,127.0.0.1,42,254
403572636,127.0.0.1,35,255
403572637,127.0.0.1,29,256
403572637,127.0.0.1,23,257
403572637,127.0.0.1,15,258
403572664,127.0.0.1,35,259
403572671,127.0.0.1,56,257
403572671,127.0.0.1,49,258
403572671,127.0.0.1,42,259
403572698,127.0.0.1,62,260
403572699,127.0.0.1,56,261
403572699,127.0.0.1,50,262
403572699,127.0.0.1,42,263
403572699,127.0.0.1,63,260
403572699,127.0.0.1,56,261
403572699,127.0.0.1,49,262
403572699,127.0.0.1,42,263
403572706,127.0.0.1,43,264
403572706,127.0.0.1,43,264
403572706,127.0.0.1,35,265
403572706,127.0.0.1,36,265
403572706,127.0.0.1,29,266
403572706,127.0.0.1,22,267
403572706,127.0.0.1,29,266
403572706,127.0.0.1,22,267
403572726,127.0.0.1,35,268
403572726,127.0.0.1,28,269
403572726,127.0.0.1,35,268
403572727,127.0.0.1,29,269
403572761,127.0.0.1,56,270
403572761,127.0.0.1,49,271
403572761,127.0.0.1,42,272
403572762,127.0.0.1,57,270
403572762,127.0.0.1,50,271
403572762,127.0.0.1,43,272
403572762,127.0.0.1,36,273
403572762,127.0.0.1,36,273
403572762,127.0.0.1,29,274
403572762,127.0.0.1,22,275
403572762,127.0.0.1,29,274
403572783,127.0.0.1,37,276
403572783,127.0.0.1,29,277
403572789,127.0.0.1,49,275
403572789,127.0.0.1,42,276
403572789,127.0.0.1,35,277
403572802,127.0.0.1,42,278
403572802,127.0.0.1,34,279
403572803,127.0.0.1,28,280
403572803,127.0.0.1,21,281
403572803,127.0.0.1,42,278
403572803,127.0.0.1,35,279
403572803,127.0.0.1,28,280
403572838,127.0.0.1,50,282
403572838,127.0.0.1,43,283
403572838,127.0.0.1,56,281
403572838,127.0.0.1,49,282
403572838,127.0.0.1,43,283
403572838,127.0.0.1,36,284
403572839,127.0.0.1,29,285
403572839,127.0.0.1,23,286
403572845,127.0.0.1,22,287
403572845,127.0.0.1,15,288
403572845,127.0.0.1,43,284
403572846,127.0.0.1,36,285
403572846,127.0.0.1,30,286
403572846,127.0.0.1,22,287
403572846,127.0.0.1,16,288
403572865,127.0.0.1,28,289
403572865,127.0.0.1,28,289
403572900,127.0.0.1,56,290
403572900,127.0.0.1,49,291
403572901,127.0.0.1,43,292
403572901,127.0.0.1,56,290
403572901,127.0.0.1,50,291
403572901,127.0.0.1,43,292
403572901,127.0.0.1,37,293
403572901,127.0.0.1,29,294
403572907,127.0.0.1,43,293
403572907,127.0.0.1,35,294
403572907,127.0.0.1,28,295
403572908,127.0.0.1,23,296
403572921,127.0.0.1,42,295
403572921,127.0.0.1,36,296
403572921,127.0.0.1,29,297
403572922,127.0.0.1,22,298
403572922,127.0.0.1,29,297
403572922,127.0.0.1,22,298
403572936,127.0.0.1,29,299
403572936,127.0.0.1,23,300
403572936,127.0.0.1,29,299
403572937,127.0.0.1,23,300
403572956,127.0.0.1,36,301
403572956,127.0.0.1,29,302
403572956,127.0.0.1,35,301
403572956,127.0.0.1,28,302
403572990,127.0.0.1,55,303
403572991,127.0.0.1,50,304
403572991,127.0.0.1,43,305
403572991,127.0.0.1,55,303
403572991,127.0.0.1,50,304
403572991,127.0.0.1,43,305
403572991,127.0.0.1,36,306
403572991,127.0.0.1,29,307
403572991,127.0.0.1,36,306
403572992,127.0.0.1,30,307
403573011,127.0.0.1,42,308
403573011,127.0.0.1,35,309
403573011,127.0.0.1,28,310
403573019,127.0.0.1,50,308
403573019,127.0.0.1,43,309
403573019,127.0.0.1,36,310
403573025,127.0.0.1,35,311
403573025,127.0.0.1,29,312
403573025,127.0.0.1,22,313
403573032,127.0.0.1,42,311
403573032,127.0.0.1,35,312
403573032,127.0.0.1,28,313
403573059,127.0.0.1,49,314
403573059,127.0.0.1,41,315
403573060,127.0.0.1,36,316
403573067,127.0.0.1,57,314
403573067,127.0.0.1,49,315
403573067,127.0.0.1,43,316
403573067,127.0.0.1,36,317
403573067,127.0.0.1,28,318
403573067,127.0.0.1,22,319
403573068,127.0.0.1,15,320
403573087,127.0.0.1,56,317
403573087,127.0.0.1,48,318
403573087,127.0.0.1,42,319
