Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
99996830,0.0000,1999,10788.00,33532,1769,0,0,0,0,0,0,1200581.97,3637.41,0.00,0.00,0.00,0.00,0.00,0.00
99997830,0.0000,2058,10788.00,33532,1801,0,0,0,0,0,0,1200581.97,4406.69,0.00,0.00,0.00,0.00,0.00,0.00
99998836,0.0000,1888,10788.00,33532,1832,0,0,0,0,0,0,1200581.97,3748.36,0.00,0.00,0.00,0.00,0.00,0.00
99999836,0.0000,2042,10788.00,33534,1864,0,0,0,0,0,0,1368207.06,4373.77,0.00,0.00,0.00,0.00,0.00,0.00
100000836,0.0000,2073,15981.00,33535,1895,0,0,0,0,0,0,1312788.36,3040.18,0.00,0.00,0.00,0.00,0.00,0.00
100001836,0.0000,2058,15981.00,33535,1927,0,0,0,0,0,0,1312788.36,4845.12,0.00,0.00,0.00,0.00,0.00,0.00
100002843,0.0000,2113,15981.00,33535,1959,0,0,0,0,0,0,1312788.36,4335.18,0.00,0.00,0.00,0.00,0.00,0.00
100003849,0.0000,1881,15981.00,33535,1989,0,0,0,0,0,0,1312788.36,2954.69,0.00,0.00,0.00,0.00,0.00,0.00
100004849,0.0000,1994,15981.00,33537,2021,0,0,0,0,0,0,1413741.08,1274.31,0.00,0.00,0.00,0.00,0.00,0.00
100005849,0.0000,2046,15981.00,33537,2052,0,0,0,0,0,0,1413741.08,3271.12,0.00,0.00,0.00,0.00,0.00,0.00
100006855,0.0000,2058,15981.00,33537,2084,0,0,0,0,0,0,1413741.08,3161.74,0.00,0.00,0.00,0.00,0.00,0.00
100007855,0.0000,1940,15981.00,33537,2115,0,0,0,0,0,0,1413741.08,3639.99,0.00,0.00,0.00,0.00,0.00,0.00
100008855,0.0000,1995,15981.00,33537,2147,0,0,0,0,0,0,1413741.08,3075.67,0.00,0.00,0.00,0.00,0.00,0.00
100009862,0.0000,2164,15981.00,33539,2179,0,0,0,0,0,0,1555051.68,2230.44,0.00,0.00,0.00,0.00,0.00,0.00
100010868,0.0000,1881,15981.00,33539,2210,0,0,0,0,0,0,1555051.68,3678.31,0.00,0.00,0.00,0.00,0.00,0.00
100011868,0.0000,1999,15981.00,33539,2242,0,0,0,0,0,0,1555051.68,4602.32,0.00,0.00,0.00,0.00,0.00,0.00
100012868,0.0000,1999,15981.00,33539,2273,0,0,0,0,0,0,1555051.68,2979.31,0.00,0.00,0.00,0.00,0.00,0.00
100013868,0.0000,1999,15981.00,33539,2304,0,0,0,0,0,0,1555051.68,3883.71,0.00,0.00,0.00,0.00,0.00,0.00
100014875,0.0000,2159,15981.00,33541,2336,0,0,0,0,0,0,1679650.33,2470.66,0.00,0.00,0.00,0.00,0.00,0.00
100015881,0.0000,1912,10857.00,33542,2367,0,0,0,0,0,0,1623351.12,3998.71,0.00,0.00,0.00,0.00,0.00,0.00
100016881,0.0000,2006,10857.00,33542,2399,0,0,0,0,0,0,1623351.12,3181.66,0.00,0.00,0.00,0.00,0.00,0.00
100017881,0.0000,2058,10857.00,33542,2430,0,0,0,0,0,0,1623351.12,2850.46,0.00,0.00,0.00,0.00,0.00,0.00
100018887,0.0000,1940,10857.00,33542,2461,0,0,0,0,0,0,1623351.12,4212.21,0.00,0.00,0.00,0.00,0.00,0.00
100019888,0.0000,2046,10857.00,33544,2493,0,0,0,0,0,0,1687376.38,3510.03,0.00,0.00,0.00,0.00,0.00,0.00
100020894,0.0000,2002,10857.00,33544,2524,0,0,0,0,0,0,1687376.38,3325.82,0.00,0.00,0.00,0.00,0.00,0.00
100021894,0.0000,2058,10857.00,33544,2556,0,0,0,0,0,0,1687376.38,2842.85,0.00,0.00,0.00,0.00,0.00,0.00
100022894,0.0000,1888,10857.00,33544,2586,0,0,0,0,0,0,1687376.38,4208.41,0.00,0.00,0.00,0.00,0.00,0.00
100023894,0.0000,2054,10857.00,33544,2618,0,0,0,0,0,0,1687376.38,3313.02,0.00,0.00,0.00,0.00,0.00,0.00
100024900,0.0000,1928,10857.00,33546,2649,0,0,0,0,0,0,1795872.65,4375.25,0.00,0.00,0.00,0.00,0.00,0.00
