Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
94914,0.0000,1936,16851.00,34120,2544,2,0,0,0,0,0,1676042.46,4244.54,313067.75,0.00,0.00,0.00,0.00,0.00
95929,0.0000,2087,26097.00,34123,2576,2,0,0,0,0,0,1750016.50,4301.81,313067.75,0.00,0.00,0.00,0.00,0.00
96943,0.0000,2058,26097.00,34123,2608,2,0,0,0,0,0,1750016.50,4533.30,313067.75,0.00,0.00,0.00,0.00,0.00
97954,0.0000,1936,26097.00,34123,2639,2,0,0,0,0,0,1750016.50,5249.31,313067.75,0.00,0.00,0.00,0.00,0.00
98969,0.0000,2058,26097.00,34123,2671,2,0,0,0,0,0,1750016.50,3624.53,313067.75,0.00,0.00,0.00,0.00,0.00
99984,0.0000,1995,26097.00,34123,2702,2,0,0,0,0,0,1750016.50,3693.98,313067.75,0.00,0.00,0.00,0.00,0.00
100997,0.0000,2080,17742.00,34126,2735,2,0,0,0,0,0,1814279.84,3196.84,313067.75,0.00,0.00,0.00,0.00,0.00
102009,0.0000,1881,17742.00,34126,2766,2,0,0,0,0,0,1814279.84,2823.91,313067.75,0.00,0.00,0.00,0.00,0.00
103021,0.0000,2058,17742.00,34126,2798,2,0,0,0,0,0,1814279.84,2319.79,313067.75,0.00,0.00,0.00,0.00,0.00
104036,0.0000,1999,17742.00,34126,2830,2,0,0,0,0,0,1814279.84,2295.35,313067.75,0.00,0.00,0.00,0.00,0.00
105048,0.0000,1940,17742.00,34126,2862,2,0,0,0,0,0,1814279.84,3126.05,313067.75,0.00,0.00,0.00,0.00,0.00
106063,0.0000,2195,14805.00,34129,2894,2,0,0,0,0,0,1869863.80,5795.14,313067.75,0.00,0.00,0.00,0.00,0.00
107077,0.0000,1999,14805.00,34129,2925,2,0,0,0,0,0,1869863.80,3089.49,313067.75,0.00,0.00,0.00,0.00,0.00
108088,0.0000,1995,14805.00,34129,2958,2,0,0,0,0,0,1869863.80,1828.67,313067.75,0.00,0.00,0.00,0.00,0.00
109102,0.0000,2006,14805.00,34129,2989,2,0,0,0,0,0,1869863.80,3428.92,313067.75,0.00,0.00,0.00,0.00,0.00
110115,0.0000,1999,14805.00,34129,3021,2,0,0,0,0,0,1869863.80,1921.96,313067.75,0.00,0.00,0.00,0.00,0.00
111129,0.0000,2143,16392.00,34132,3053,2,0,0,0,0,0,1916673.81,4160.15,313067.75,0.00,0.00,0.00,0.00,0.00
112142,0.0000,1940,16392.00,34132,3084,2,0,0,0,0,0,1916673.81,3100.62,313067.75,0.00,0.00,0.00,0.00,0.00
113154,0.0000,1940,16392.00,34132,3116,2,0,0,0,0,0,1916673.81,3735.13,313067.75,0.00,0.00,0.00,0.00,0.00
114169,0.0000,1995,16392.00,34132,3147,2,0,0,0,0,0,1916673.81,3158.08,313067.75,0.00,0.00,0.00,0.00,0.00
115181,0.0000,1963,16392.00,34133,3179,2,0,0,0,0,0,2011461.17,3762.26,313067.75,0.00,0.00,0.00,0.00,0.00
116197,0.0000,1946,13378.00,34135,3210,2,0,0,0,0,0,1956208.87,4017.13,313067.75,0.00,0.00,0.00,0.00,0.00
117208,0.0000,2054,13378.00,34135,3242,2,0,0,0,0,0,1956208.87,4426.21,313067.75,0.00,0.00,0.00,0.00,0.00
118222,0.0000,2058,13378.00,34135,3274,2,0,0,0,0,0,1956208.87,5230.63,313067.75,0.00,0.00,0.00,0.00,0.00
119235,0.0000,1881,13378.00,34135,3305,2,0,0,0,0,0,1956208.87,4247.83,313067.75,0.00,0.00,0.00,0.00,0.00
120249,0.0000,2171,13378.00,34137,3338,2,0,0,0,0,0,2023789.70,2016.15,313067.75,0.00,0.00,0.00,0.00,0.00
121263,0.0000,2037,14971.00,34138,3369,2,0,0,0,0,0,1989807.40,3557.70,313067.75,0.00,0.00,0.00,0.00,0.00
122274,0.0000,1947,14971.00,34138,3401,2,0,0,0,0,0,1989807.40,4157.32,313067.75,0.00,0.00,0.00,0.00,0.00
