Timestamp(ms),IP_Address,RTT(ms),SequenceNum
48912,192.168.1.15|54310,13533,295
48925,192.168.1.15|54310,13536,296
48976,192.168.1.8|53353,15700,52
48990,192.168.1.15|54310,13591,297
49054,192.168.1.15|54310,13644,298
49099,192.168.1.15|54310,13681,299
49158,192.168.1.15|54310,13733,300
49205,192.168.1.15|54310,13771,301
49240,192.168.1.15|54310,13797,302
49248,192.168.1.8|53353,15963,53
49313,192.168.1.15|54310,13861,303
49348,192.168.1.15|54310,13887,304
49412,192.168.1.15|54310,13942,305
49470,192.168.1.15|54310,13992,306
49505,192.168.1.15|54310,14020,307
49555,192.168.1.15|54310,14059,308
49585,192.168.1.8|53353,16292,54
49593,192.168.1.15|54310,14087,309
49628,192.168.1.15|54310,14114,310
49678,192.168.1.15|54310,14155,311
49773,192.168.1.15|54310,14240,312
49814,192.168.1.15|54310,14273,313
49871,192.168.1.8|53353,16568,55
49878,192.168.1.15|54310,14329,314
49922,192.168.1.15|54310,14364,315
49987,192.168.1.15|54310,14420,316
50033,192.168.1.15|54310,14459,317
50081,192.168.1.15|54310,14498,318
50129,192.168.1.15|54310,14535,319
50147,192.168.1.8|53353,16836,56
50170,192.168.1.15|54310,14568,320
50217,192.168.1.15|54310,14606,321
50268,192.168.1.15|54310,14649,322
50353,192.168.1.15|54310,14725,323
50372,192.168.1.15|54310,14735,324
50438,192.168.1.15|54310,14793,325
50462,192.168.1.8|53353,17143,57
50489,192.168.1.15|54310,14836,326
50541,192.168.1.15|54310,14880,327
50577,192.168.1.15|54310,14907,328
50638,192.168.1.15|54310,14960,329
50691,192.168.1.15|54310,15003,330
50722,192.168.1.15|54310,15026,331
50740,192.168.1.8|53353,17412,58
50753,192.168.1.15|54310,15048,332
50825,192.168.1.15|54310,15112,333
50857,192.168.1.15|54310,15136,334
50914,192.168.1.15|54310,15184,335
50967,192.168.1.15|54310,15229,336
51000,192.168.1.15|54310,15253,337
51041,192.168.1.8|53353,17705,59
51048,192.168.1.15|54310,15293,338
51081,192.168.1.15|54310,15318,339
51127,192.168.1.15|54310,15356,340
51166,192.168.1.15|54310,15386,341
51205,192.168.1.15|54310,15417,342
51267,192.168.1.15|54310,15469,343
51313,192.168.1.15|54310,15508,344
51351,192.168.1.8|53353,18006,60
51368,192.168.1.15|54310,15554,345
51431,192.168.1.15|54310,15609,346
51471,192.168.1.15|54310,15640,347
51536,192.168.1.15|54310,15697,348
51591,192.168.1.15|54310,15744,349
51629,192.168.1.15|54310,15773,350
51636,192.168.1.8|53353,18283,61
51689,192.168.1.15|54310,15824,351
51756,192.168.1.15|54310,15882,352
51814,192.168.1.15|54310,15932,353
51842,192.168.1.15|54310,15951,354
51901,192.168.1.15|54310,16001,355
51933,192.168.1.15|54310,16024,356
51971,192.168.1.15|54310,16052,357
51990,192.168.1.8|53353,18626,62
52048,192.168.1.15|54310,16121,358
52089,192.168.1.15|54310,16153,359
52154,192.168.1.15|54310,16210,360
52166,192.168.1.15|54310,16213,361
52233,192.168.1.15|54310,16272,362
52290,192.168.1.8|53353,18917,63
52299,192.168.1.15|54310,16329,363
52358,192.168.1.15|54310,16380,364
52402,192.168.1.15|54310,16416,365
52469,192.168.1.15|54310,16474,366
52512,192.168.1.15|54310,16509,367
52557,192.168.1.15|54310,16542,368
52590,192.168.1.8|53353,19209,64
52597,192.168.1.15|54310,16573,369
52656,192.168.1.15|54310,16624,370
52694,192.168.1.15|54310,16654,371
52761,192.168.1.15|54310,16712,372
52823,192.168.1.15|54310,16767,373
52870,192.168.1.15|54310,16805,374
52888,192.168.1.8|53353,19500,65
52902,192.168.1.15|54310,16829,375
52961,192.168.1.15|54310,16879,376
52999,192.168.1.15|54310,16909,377
53073,192.168.1.15|54310,16974,378
53106,192.168.1.15|54310,16997,379
53164,192.168.1.15|54310,17047,380
53201,192.168.1.8|53353,19804,66
53214,192.168.1.15|54310,17089,381
53278,192.168.1.15|54310,17145,382
53322,192.168.1.15|54310,17180,383
53360,192.168.1.15|54310,17209,384
53414,192.168.1.15|54310,17254,385
53452,192.168.1.15|54310,17284,386
53493,192.168.1.8|53353,20086,67
53505,192.168.1.15|54310,17329,387
53570,192.168.1.15|54310,17384,388
53619,192.168.1.15|54310,17424,389
53651,192.168.1.15|54310,17447,390
53709,192.168.1.15|54310,17497,391
53749,192.168.1.15|54310,17528,392
53809,192.168.1.8|53353,20393,68
53809,192.168.1.15|54310,17581,393
53868,192.168.1.15|54310,17630,394
53905,192.168.1.15|54310,17657,395
53957,192.168.1.15|54310,17701,396
54002,192.168.1.15|54310,17737,397
54056,192.168.1.15|54310,17783,398
54056,192.168.1.8|53353,20632,69
54090,192.168.1.15|54310,17807,399
54151,192.168.1.15|54310,17860,400
54214,192.168.1.15|54310,17915,401
54246,192.168.1.15|54310,17938,402
54305,192.168.1.15|54310,17989,403
54350,192.168.1.15|54310,18023,404
54357,192.168.1.8|53353,20925,70
54396,192.168.1.15|54310,18061,405
54442,192.168.1.15|54310,18099,406
54500,192.168.1.15|54310,18148,407
54527,192.168.1.15|54310,18166,408
54586,192.168.1.15|54310,18215,409
54618,192.168.1.15|54310,18239,410
54656,192.168.1.8|53353,21213,71
54682,192.168.1.15|54310,18294,411
54736,192.168.1.15|54310,18340,412
54784,192.168.1.15|54310,18380,413
54850,192.168.1.15|54310,18438,414
54896,192.168.1.15|54310,18474,415
54930,192.168.1.8|53353,21479,72
54962,192.168.1.15|54310,18532,416
55001,192.168.1.15|54310,18563,417
55056,192.168.1.15|54310,18610,418
55115,192.168.1.15|54310,18660,419
55128,192.168.1.15|54310,18662,420
55185,192.168.1.15|54310,18712,421
55201,192.168.1.8|53353,21742,73
55220,192.168.1.15|54310,18738,422
55307,192.168.1.15|54310,18817,423
55325,192.168.1.15|54310,18826,424
55394,192.168.1.15|54310,18887,425
55426,192.168.1.15|54310,18911,426
55454,192.168.1.15|54310,18931,427
55460,192.168.1.8|53353,21992,74
55519,192.168.1.15|54310,18987,428
55561,192.168.1.15|54310,19019,429
55627,192.168.1.15|54310,19077,430
55691,192.168.1.15|54310,19130,431
55737,192.168.1.15|54310,19168,432
55775,192.168.1.8|53353,22299,75
55802,192.168.1.15|54310,19224,433
55827,192.168.1.15|54310,19241,434
55892,192.168.1.15|54310,19298,435
55944,192.168.1.15|54310,19339,436
56001,192.168.1.15|54310,19388,437
56061,192.168.1.15|54310,19439,438
56100,192.168.1.8|53353,22614,76
56108,192.168.1.15|54310,19478,439
56141,192.168.1.15|54310,19502,440
56204,192.168.1.15|54310,19557,441
56256,192.168.1.15|54310,19599,442
56333,192.168.1.15|54310,19666,443
56359,192.168.1.8|53353,22863,77
56366,192.168.1.15|54310,19691,444
56398,192.168.1.15|54310,19715,445
56456,192.168.1.15|54310,19765,446
56507,192.168.1.15|54310,19807,447
56520,192.168.1.15|54310,19812,448
56585,192.168.1.15|54310,19869,449
56647,192.168.1.15|54310,19923,450
56675,192.168.1.15|54310,19942,451
56687,192.168.1.8|53353,23183,78
56753,192.168.1.15|54310,20012,452
56813,192.168.1.15|54310,20063,453
56851,192.168.1.15|54310,20093,454
56884,192.168.1.15|54310,20117,455
56956,192.168.1.15|54310,20181,456
56956,192.168.1.8|53353,23445,79
56982,192.168.1.15|54310,20198,457
57046,192.168.1.15|54310,20252,458
57093,192.168.1.15|54310,20291,459
57131,192.168.1.15|54310,20321,460
