Timestamp(ms),IP_Address,RTT(ms),SequenceNum
290853,192.168.1.15,272345,182
290879,192.168.1.8,272370,182
292354,192.168.1.15,273837,183
292373,192.168.1.8,273855,183
293854,192.168.1.15,275328,184
293872,192.168.1.8,275345,184
295356,192.168.1.15,276821,185
295363,192.168.1.8,276827,185
296874,192.168.1.15,278330,186
296894,192.168.1.8,278349,186
298389,192.168.1.15,279835,187
298389,192.168.1.8,279834,187
299895,192.168.1.15,281333,188
299901,192.168.1.8,281337,188
301400,192.168.1.15,282829,189
301413,192.168.1.8,282840,189
302905,192.168.1.15,284325,190
302918,192.168.1.8,284337,190
304416,192.168.1.15,285827,191
304435,192.168.1.8,285845,191
305908,192.168.1.15,287310,192
305927,192.168.1.8,287328,192
307438,192.168.1.15,288831,193
307444,192.168.1.8,288836,193
308917,192.168.1.15,290302,194
308935,192.168.1.8,290318,194
310434,192.168.1.15,291810,195
310440,192.168.1.8,291815,195
311945,192.168.1.15,293312,196
311958,192.168.1.8,293324,196
313445,192.168.1.15,294803,197
313459,192.168.1.8,294816,197
314951,192.168.1.15,296299,198
314964,192.168.1.8,296311,198
316457,192.168.1.15,297797,199
316469,192.168.1.8,297807,199
317980,192.168.1.15,299311,200
317999,192.168.1.8,299329,200
319489,192.168.1.15,300810,201
319504,192.168.1.8,300824,201
320996,192.168.1.15,302308,202
321002,192.168.1.8,302313,202
322486,192.168.1.15,303789,203
322492,192.168.1.8,303794,203
323989,192.168.1.8,305282,204
323989,192.168.1.15,305283,204
325493,192.168.1.15,306779,205
325499,192.168.1.8,306783,205
326989,192.168.1.15,308265,206
327002,192.168.1.8,308277,206
328471,192.168.1.15,309738,207
328498,192.168.1.8,309764,207
329998,192.168.1.15,311256,208
330010,192.168.1.8,311267,208
331497,192.168.1.15,312747,209
331523,192.168.1.8,312771,209
333002,192.168.1.15,314243,210
333026,192.168.1.8,314266,210
334503,192.168.1.15,315735,211
334516,192.168.1.8,315747,211
336021,192.168.1.15,317244,212
336039,192.168.1.8,317261,212
337541,192.168.1.15,318756,213
337548,192.168.1.8,318761,213
339052,192.168.1.15,320258,214
339065,192.168.1.8,320270,214
340581,192.168.1.15,321778,215
340581,192.168.1.8,321777,215
342090,192.168.1.15,323278,216
342096,192.168.1.8,323283,216
343552,192.168.1.15,324731,217
343572,192.168.1.8,324750,217
345075,192.168.1.15,326246,218
345100,192.168.1.8,326269,218
346572,192.168.1.15,327734,219
